Cortical neuron	Astrocyte	Neuroepithelial cell	BMP responsible cell	Unfolded protein responsible cell	Interneuron	Glia progenitor cell	Oligodendrocyte/OPC	Intermediate	Neuron	Cilia-bearing cell	Proteoglycan-expressing cell	Mesoderm
IGFBP7	0.114735240368623	0.557178103882041	0.419117557019859	1.75653901849919	0.219446249284787	0.142496506087046	0.431270624336843	0.25214079180387	0.368779719161276	0.11051291458744	2.72396843555666	1.37032230920578	0.380247134335808
APOE	0.325934947428183	1.49054025125213	0.833630814144223	1.76680568482359	0.573821217157156	0.338585936531232	0.9246653489469	0.790030319834504	0.76375787982814	0.367014965892333	1.23032988366026	1.99372738229643	0.691908210744824
STMN2	3.52673396666453	0.63046200356401	0.7900703865945	0.572862173551248	2.24402780757413	3.2459201493267	0.809059983926056	1.18881693160086	2.31523106054505	2.96699681601527	0.391078264453319	0.71349507570005	1.77214837857122
TNNT3	0.0251831378193408	0.0328424607478716	0.0306818295305738	0.017438205040537	0.0460427724707293	0.0354234600370353	0.0430554924988592	0.077120495574976	0.0823194629244605	0.0279789835215812	0.0352903357304608	0.228309633051988	0.073841831439855
CXCL14	0.206878852359163	0.727088458634393	0.602868130085593	2.45590927519368	0.376614314524803	0.262996255919284	0.505701700346989	0.420607537157879	0.537763913491033	0.19572942835692	2.606103265677	1.23138562503501	0.465383802218326
PTTG1	0.402570295913824	0.55102548686724	2.35035094326077	0.421712095200095	0.388683308733262	0.390269509493385	0.466955410194865	0.8196903856525	0.524346714831921	0.530149159343852	0.659972712212333	0.39487849772804	0.460097652396656
PTN	1.77898793042385	3.51770028964445	2.97270573030743	1.58588473190468	1.50422689168877	1.98644247870429	3.09580210840499	2.63557608141678	2.32662809320396	2.43449443438004	1.01105243112414	2.34713676565615	1.80641344362133
SST	0.207718772307357	0.0230926571495616	0.0256322012380725	0.0231322011145396	0.0892567045597833	0.277661810860921	0.0214622471151813	0.0618884231875074	0.120974232591767	0.0897210537850884	0.0170750511934999	0.0503882219589547	0.106548389336198
TFPI2	0.0528817563085055	0.841900530401509	0.556287801968441	0.447089295747573	0.115440782957283	0.095205845501658	0.335959785811751	0.399705819646217	0.337004375521315	0.0908113866241577	0.220177659132951	0.699839946592587	0.191769330014794
CRYAB	0.213460084253148	0.558063013608202	0.333633713737015	0.65750745834126	0.55383517578785	0.228157834841752	0.637790325155129	0.422617116182008	0.345615086495786	0.227124294050908	0.392176730257139	0.565247133760516	0.62738733332966
SPARCL1	0.151759333886595	1.51556244533204	1.12828572674452	0.693999416999083	0.17996713463036	0.157909477943807	1.19093480260168	0.687577038599922	0.694812363472306	0.182462448590414	0.401585473595985	1.00504492597303	0.462919161266231
CCNB1	0.116978982911029	0.142860109128109	1.28193016979697	0.116288599758394	0.139237301351376	0.105531298652809	0.110859721466536	0.218352415811382	0.163953900584772	0.104613954400719	0.179491576438319	0.126933666309065	0.0924970653920857
CKM	0.0257570284399903	0.0287872459834596	0.0215818929328213	0.00796163909368122	0.0320793551555947	0.00883501828530436	0.0269189755890377	0.0388127746134836	0.0384725346600554	0.0212435242115238	-0.00822285900468869	0.109500884529889	0.0916755141549385
GAP43	2.39062896931295	1.36645085859517	1.13318505693287	0.657696136138746	1.43602216846967	2.11102525870659	1.28777158209502	1.01968444408001	1.71378869047221	2.01167865931528	0.334235590406445	1.04607785056807	1.35751001588225
PCP4	0.39098155395484	0.674019393616058	0.448718747777417	2.15602179660203	0.410734861569926	0.462531059791294	0.50783761893858	0.44252204132804	0.58368034305937	0.220838545114647	2.26608647928564	0.832213685426977	0.532402825761938
CDC20	0.0433978090075972	0.0742561839174458	1.29267793974957	0.0380268765966712	0.0719144849307409	0.0386273878989534	0.0565361719273613	0.118544250437079	0.0888238914648486	0.0447145652389975	0.146230379934571	0.048069112850061	0.0315168174891928
LGALS1	0.246710439102969	0.771153999786399	0.906320344661466	0.892706427799118	0.343168791928369	0.29084740975214	0.455441516881491	0.404211980877153	0.465941258713555	0.193830012379059	0.546756315100109	1.70382008870318	0.479303256678471
HMGB2	0.555812346517258	0.688102623985475	2.39745483587189	0.532057843566354	1.12088254045114	0.609845809747965	0.84291931763535	0.738669207540038	0.707193787813402	0.616817930665634	0.585161906481056	0.799500833558364	0.88913587243343
MKI67	0.040651942421465	0.0947541857806025	0.938339701196469	0.0621018003004442	0.047868480920394	0.0440676222665677	0.0591446099348442	0.16469415294957	0.134837239766897	0.0692343215462285	0.023963011666229	0.102991029126718	0.0591616395529193
PMCH	0.0270571226627609	0.136095201906687	0.104899801625642	0.967218997050144	0.090017485974303	0.0269486112591482	0.192248249523193	0.0460658064804656	0.0932765230052201	0.0153381812320724	0.284718969867279	0.236650340170125	0.123685748221744
COL1A1	0.0578217946803251	0.119471605535715	0.122881313124227	0.138791313420971	0.0855742067299292	0.0482660573615901	0.112836774918219	0.111349553864555	0.185893405933031	0.0512407439528487	0.0815330943563478	1.28575313601263	0.213904160084189
TNNT2	0.0169413026139604	0.0171947036055899	0.0268935091592743	0.0162548382478932	0.0243470457566224	0.0150802191726293	0.0167457794931781	0.0741776787083181	0.0693015679449787	0.0152147541589288	0.013091262199217	0.176317898340152	0.20290489818359
FABP7	0.980774538634711	1.93924813423282	1.69653201368302	0.669443562759839	0.640892952972645	0.955849540917943	1.47320709313731	1.29854425429351	1.18415042793873	1.31252111559126	0.362713398668814	0.934764175151823	0.74698979097714
PCSK1N	2.64310924532264	1.95610564854818	1.60792622082649	1.94095733719549	1.96050581315599	2.52515064182391	1.77058991838244	1.82131862410818	2.15599924026419	2.2627300688438	1.86661932866455	1.54429811077696	1.9163121478734
KLHL41	0.0158034075294959	0.0226124846208605	0.0286549096767644	0.012775792130972	0.0218826318110204	0.0158522012147525	0.0369997064338938	0.0506276960850122	0.0744546566984537	0.0150009224916605	0.00937941217161949	0.230563029616108	0.110844169330657
COL3A1	0.0663163971543499	0.0908931968575708	0.0830737939619689	0.114401490530085	0.0729952023220957	0.0323457848027181	0.0742120981847741	0.0687817760674897	0.107199273058701	0.0394231132994894	0.0599929027455057	1.19229466787605	0.308616488945433
PLK1	0.0549123800794639	0.0561426954863601	0.910528597236863	0.0291736226630683	0.0693879965994177	0.0394109234335887	0.0516312046103404	0.0625398344390038	0.0748120030195348	0.044461052454893	0.0574222451510708	0.0338471242751481	0.0529223930908315
IGFBP5	0.395155863258867	0.883214334859841	0.511189123529524	0.909706166711052	0.476189804435101	0.447892358686943	0.829673235449511	0.818817576030723	0.605367580061386	0.40143347620595	0.814343391818494	1.03444972592021	0.63496231111288
CDK1	0.083868730288048	0.169412160886604	1.57777161146464	0.0820776289609835	0.0945982979509097	0.110778161985605	0.135751663842184	0.169505784984834	0.119175812001912	0.101988783209418	0.292881088503138	0.0800376004334171	0.0511936444597672
NEFM	1.25933085670374	0.247994575665206	0.218471203799985	0.443207740884113	0.852849204084324	0.756663267752506	0.401351702922445	0.341017978992774	0.748443330129754	0.638045186129255	0.276391262115876	0.399216207782259	0.914609029100347
LUM	0.0588872489686223	0.157993247081441	0.127687005970275	0.0922362937591912	0.0967895047446488	0.0320829225266737	0.135485725095174	0.0660025671310296	0.16674557044834	0.044588120102202	0.0342435927434883	1.1016968125911	0.19997291890654
FABP1	0.00740055345622012	0.0134013578854482	0.0115092128150097	0.0183109268514745	0.0257686701351937	0.0127602861258821	0.0272308674998362	0.00706568255193564	0.0156565342106246	0.00273794275368137	0.00409525305796152	0.034988900935881	0.0124153738492739
NUSAP1	0.0833424312226033	0.197798039885853	1.50998423875332	0.107475696840921	0.115043672460465	0.0967444494429289	0.120729398215729	0.236071785543147	0.192572008998652	0.139532383268493	0.0944831904812708	0.141878365576884	0.0785871755454407
PLA2G2A	3.35155410893602e-05	0.00324988833132962	0.00233808903975224	0.00226016394650619	0.00438195425101352	0.000312157522048196	0.00498126429104603	0.000177552563627298	0.000981676016604858	-5.53794896075384e-06	-5.89552857150254e-05	0.0404151708507956	-0.00475255128885382
TAC3	0.0727572187105826	0.050076589083335	0.0949492191270728	0.0124102095080844	0.0721071510101743	0.163934712264771	0.0591092862439053	0.144539660061084	0.0772990186440311	0.522195131931159	0.0088184354482745	0.025983342056572	0.0627405130569741
APOA2	0.00169680848779762	0.00136091205358012	0.00184291282470126	0.00180132974864877	0.0123051660568107	0.00125103558303798	0.0031050941224249	0.00511356583161599	0.00690983534063367	0.00228399138972868	0.00284360054331362	0.0107191186095239	0.0181294160611508
SPINK1	0.00586801066809194	0.0068820305595092	0.00495102427133365	0.0113814630945	0.0865784617230216	0.00569010226378623	0.0315134136540138	0.00615950129777859	0.0180075374537854	0.00173980450988294	0.00636935304865264	0.0319206723785984	0.0673390276941832
DCN	0.0478541843873305	0.155479391456463	0.120341543218524	0.401026637571009	0.0782516062506699	0.0476387628302239	0.128669684774887	0.111281867556143	0.185829630927544	0.0349798397851864	0.320612597872195	0.828492894683921	0.303678139996319
CRH	0.0359348881384148	0.0324442527667801	0.0123644795243887	0.00560261979435475	0.0170050228173598	0.0448971496778018	0.0172717137949162	0.00974546845611546	0.0164348739073379	0.014860349110027	0.00238783957461372	0.0130752533203766	0.0379590495309394
MAP1B	3.42880973154781	2.15512520537833	2.33207117818922	1.9076193144315	2.51483453682948	3.14650006056714	2.10342733872205	2.47817015591446	2.8643110786175	3.14538324815321	1.84062957795912	2.06628841558378	2.61257786415696
VIM	1.24571739855045	3.66219245036523	3.62986848227151	2.65732462759284	1.99876063006132	1.26109195084742	3.64635920321303	2.93792496640294	2.41997610190992	1.59714163159036	1.96656009918216	3.33272625319501	2.19910054213039
TNNC1	0.0383094543660851	0.0246644497618947	0.0242941790419766	0.0563668579617221	0.0480354034178983	0.0254485790763212	0.0233814900494878	0.0250948486447806	0.0511193000818415	0.0235181366289976	0.042734706555147	0.0941889882364604	0.227108090476942
CLU	1.22772563675728	3.3966537049416	2.46124082418549	2.91004686401748	1.61633197626169	1.19276232616114	2.73367344157185	2.17643182389449	2.10582711670286	1.60195715253606	2.63703294314407	2.49872244397728	1.75258844981063
HIST1H4C	1.23740114501484	0.812010159060358	2.00277829737605	0.810300837476905	0.943489941965364	1.26710241098739	0.841478172162547	0.949669233054949	1.02297393499591	1.06889554815399	0.712113583627825	0.92124018513336	0.804550228914947
NTS	0.453951976902656	0.137013406995521	0.115640226103836	0.0696216083684437	0.129055581281726	0.110866302120291	0.104252767020385	0.112493124441499	0.200411521789075	0.208207438587428	0.0450749757327257	0.103559148639224	0.128769345666653
MYOG	0.00836992968752591	0.00331884641979655	0.0103226841628047	0.00202981000896309	0.0197218323236841	0.0057230374913675	0.00603307896786699	0.0404284473840502	0.0168396838383749	0.0056423575827729	0.00280964241378836	0.0329218779420747	0.141503142035904
RSPO3	0.173911844365823	0.471632218478222	0.184502582799478	0.205212435650238	0.0848144496186407	0.0844183088486012	0.172554693131648	0.196357198931778	0.266832074564197	0.251388261319995	0.0903603854883811	0.435374880670675	0.127408229571371
ID3	0.270731664794621	1.12147823120726	0.954685431386868	1.4952898169206	0.440686885725831	0.328727419630136	0.692766391217143	0.635703073360105	0.770076727117774	0.346640003710099	1.36704545472499	1.17072004580914	0.660194248935046
MLLT11	2.69768330122704	1.49402113967367	1.37156404641913	1.17932149067303	1.90131778720976	2.74577857432808	1.59550055225227	2.12428031438121	2.12006290697819	2.86451794969707	0.722292318169886	1.45028410098251	2.06969898208702
PMP2	0.116959923652927	0.668251070563033	0.330406939643821	0.116801133658327	0.116799961676191	0.229115152883085	0.339658142473445	0.659496556540553	0.253952129753567	0.177461674082642	0.0464880602693266	0.208630393376171	0.199522657953682
CHI3L1	0.00515258201784202	0.0849877875694872	0.0454215086209353	0.0516692998208248	0.0132719035150108	0.00435473397740764	0.0619261689923947	0.0133718555995684	0.0266790007450091	0.00415363972850605	0.0296321318213471	0.104809968919113	0.0240614658567699
CKS2	0.532470828135609	0.625350478313348	1.81441912028401	0.625034081593268	1.06149620341969	0.568298072864968	0.801693503872714	0.792778110752103	0.645555336845013	0.691235401135071	0.709039204714406	0.732491394259903	0.836807086561437
TRPM3	0.154722788725561	0.289187922765353	0.206851265749647	1.37490566674273	0.134083929440407	0.12463269783778	0.191855682642786	0.155890011690573	0.270373605255416	0.0575049798562246	1.5561507848338	0.390121449268547	0.137174358589159
OLFM4	0.00369338852037469	0.00670945077629664	0.003087741882987	0.00718359841706044	0.0344112556752503	0.0070917576437637	0.00319459463442675	0.00531782595567824	0.0132092714487469	0.000521154564150072	0.0107988401586225	0.0210315932033813	0.0111473078130582
RPS4Y1	0.113843848768535	0.0722739516315817	0.0342851751046067	0.0827841159699693	0.0671098170549374	0.121570408859899	0.0787285687301291	0.100132451618761	0.0586394371121065	0.0400781842927495	0.0973722588016345	0.128092782023217	0.163552235906731
CCNB2	0.0339521807266942	0.12113371285618	1.12593417817922	0.079581716101096	0.0636998597888739	0.0514387412521772	0.0628866695577799	0.203810191769529	0.115335052653577	0.0710650877126959	0.0863511067817664	0.0829095032787923	0.0370855146152614
TPX2	0.102950342633356	0.12847358616463	1.2317345293588	0.0892874547023257	0.163872045584226	0.077210285797586	0.102997019469829	0.125487792916545	0.1645040514229	0.0932150336453132	0.191643821306129	0.11830553878735	0.116510715649748
CALB2	0.459581353456469	0.0386948797495562	0.056848494188041	0.0420357788285485	0.182468634201222	0.419026307573551	0.0591358661397799	0.0908134655670852	0.236355270680201	0.293900330292099	0.0362857622782411	0.0890233451104391	0.175061870393086
UBE2S	0.808083221622403	0.466263512606707	1.43646399154554	0.4368922265566	0.820874607326907	0.786668219854299	0.557153853094548	0.702953856505185	0.640736283834771	0.825776255707565	0.49291247905072	0.44304066086595	0.638423018940652
EOMES	0.0839050097922189	0.0286989469306286	0.037331217862877	0.00881896022365755	0.0796735910423885	0.114162914645628	0.0357671889659363	0.218954574730457	0.0823876761621864	0.698969988786887	0.00117715778907033	0.0158533758238371	0.00650550592892573
NEAT1	1.06639375079646	2.11384042212983	1.7853699444264	2.42599235263377	2.05113653884623	1.0537016155777	2.65513330791761	1.73761837824564	1.71642296888039	1.317695523625	2.89559904400486	2.31339947989219	1.94056085050752
BIRC5	0.0868451168600914	0.153092235520816	1.42238869922325	0.116978770974161	0.0583382051355849	0.098735564968064	0.0688169567389699	0.28784231697913	0.165862875588945	0.140631329987485	0.166081357564382	0.0914401012682621	0.0322003412835115
TRH	0.0652451333071072	0.0844475986454266	0.0469603009253676	0.0771765953320759	0.0434069193096377	0.0321705940897609	0.0443601128993328	0.0430875119574033	0.0737542816523519	0.129107005390551	0.0251581457057954	0.051098859729653	0.0555375565761248
PMEL	0.0150648940544689	0.0275770203693325	0.0170397828476141	0.137549560925608	0.0450192291734573	0.0260095943730155	0.0440450240840739	0.0296976334747752	0.0504319340171653	0.0426063164191393	0.0684708946155522	0.0385467082782773	0.0149866151813747
TSPAN8	0.00162952391340825	0.00624155534647086	0.00473295799828535	0.0119688128491933	0.0211920675211484	0.000904631526844134	0.00609427482605208	0.00212637661486833	0.0254720954126922	0.00212548542541233	-0.00109482894801582	0.0638835669968205	0.0127483990065235
MYL4	0.0369568125462148	0.0211247932776962	0.0214015940684223	0.0169224722866285	0.0400429706010465	0.0368203496116567	0.022405514473213	0.0824867182335906	0.0437754081434812	0.0207048680428032	0.0119990190956977	0.0987160927309702	0.224267781283721
CST3	0.757934384330148	1.92491686053824	1.36397318483497	2.01899416616061	0.988879518076358	0.830974101234074	1.44144393347313	1.54846418376668	1.28650179552614	1.15682099095441	2.12798057370527	1.80094786089156	1.19345638256929
HOPX	0.234689302183684	0.492748548629645	0.321288156091593	0.137875344249331	0.166610214386625	0.19188956780657	0.195467169033189	0.227257914876987	0.283305958267097	0.121590693425596	0.0835013849754731	0.294532391030039	0.249892923907226
RTN1	2.86624305147227	0.873356814440816	0.633659650897342	0.929567222761005	1.61445221005745	2.63167320521984	0.736670433349151	0.939868324681504	1.85318967846868	2.0035819686175	0.971927948572784	0.643059470011238	1.43417591701968
ASPM	0.0231747189078291	0.0395932650098982	0.788476423904663	0.0278444023043134	0.0267095540127505	0.0402446942076832	0.0241105482718563	0.0687784272644892	0.0734234063899474	0.0282637185763577	0.0848034615663919	0.0760652985406969	0.0133066863021645
CALCA	0.0072285847597447	0.0794354354204693	0.0172406877204186	0.103230764144268	0.0249346977190421	0.0157239072260141	0.0386541517313799	0.0581829548518259	0.0257586834204962	0.00538706776945594	0.107199816639867	0.0435166763588854	0.0309288933561584
AURKB	0.0300821674145383	0.0361029448337189	0.843310851954445	0.0298629626473084	0.0241391930014073	0.0241327834561673	0.0294916150447947	0.0403855538163021	0.061608948214582	0.0142837361610924	0.023572990966676	0.0287210575216524	0.0118796909633249
HTR2C	0.042102140271229	0.308065467525876	0.214747795035953	1.47182671993797	0.142996683933296	0.0534052505424314	0.204810877602687	0.143537873898504	0.244833110255744	0.037170165102134	1.98025681786338	0.413230433539129	0.207649293166372
RGCC	0.0442930892940846	0.543338264671196	0.272722744765883	0.742803903832935	0.101453105699855	0.0525471063008776	0.311564942086009	0.247524930102674	0.22069717775673	0.0720879126298435	0.451006613921874	0.470663644421766	0.167838473633736
ACTA1	0.0728860794003185	0.0404085957600077	0.0442387971137928	0.0263650940079332	0.116224265500121	0.0554549483108016	0.0594799514463589	0.119564110984642	0.0811560551753623	0.0796332228288098	0.0121988828366695	0.180003493044856	0.189513988551033
BCAN	0.133892323180663	0.769280388355659	0.554887772612584	0.165372618856259	0.147901687087585	0.174741990351859	0.607849016687256	0.485867123636309	0.304125700838784	0.162979191020745	0.0856302534617635	0.251894427781163	0.206645789869484
C7	0.00648885864611122	0.00780576775423922	0.0182539148167723	0.00886490211042351	0.00518735752952952	0.00586749196292411	0.0157523340069148	0.00717647276413338	0.0166382032911024	0.00208576436952787	0.00349419309058245	0.237476674077714	0.016648304768791
HES6	0.709823207320299	0.55114841175221	0.912388587671238	0.31043019201629	0.520833494315857	0.861074554464509	0.416885841824442	2.05494868323471	0.688797327675584	1.28774616414525	0.36665404500636	0.391540995993522	0.874139305868829
GPR151	0.00365361972029183	0.00120880710961811	-0.000191201772155624	0.00161002368816014	-8.94189741976413e-05	0.0045864138383208	0.00041617949390732	0.000675331088192986	0.00172172786771086	-0.000658866768327676	0.00141633989238649	-0.000629609504453899	0.00266267570482265
OGN	0.00964180504356221	0.0218387909783635	0.0333062257395433	0.0228737882175471	0.0124943592577113	0.00694037749990623	0.0413311012604487	0.0276209929532509	0.0729186665402754	0.00568193135110974	0.012841456839325	0.262170692014239	0.0828409691354895
TPH1	0.0187061067829473	0.0217873789352915	0.0276422413004154	0.0820098305996651	0.0236684298158573	0.0295289179317844	0.0175101003511695	0.0222895937906025	0.0501673194646002	0.0181846060922691	0.0337964848155371	0.054214678750141	0.0237245934502713
SERPINA1	0.00105537157597612	0.00546867494885374	0.00245380322536486	0.00938531963190506	0.0175919959210281	-0.000612343455499308	0.0044852158791911	-0.00141982607539746	0.012545728832843	0.00130433011913339	0.00779039033197781	0.0166604704894889	0.0053222131648004
TCF7L2	0.347235133492506	0.315487110480719	0.306824252179605	0.272115246179351	0.204056868338641	0.293947180539944	0.284881725048186	0.301149966170896	0.376609493549085	0.177678219168237	0.217228435959437	0.504859843654591	0.346663022150242
CDKN3	0.112666205535688	0.189543211045514	1.21040666463459	0.133892249365963	0.160034002636832	0.092464796077896	0.162317867726959	0.122035389090482	0.15984257321796	0.0763177340587354	0.176493077171297	0.122249645301324	0.100195421316919
RBP1	0.193748473344262	0.857262346273275	0.886923515795757	2.0531599277469	0.292740984274582	0.432045541294639	0.565050696127743	0.971433485191212	0.679181211577824	0.629002492505569	2.52825850273264	1.39782855074546	0.767569258954462
S100B	0.169099828964516	1.38571858305083	0.812985895752427	0.595111995934179	0.197166667797578	0.220679699234305	0.666941434649149	0.601931554969621	0.514762341845021	0.317663213780587	0.349959303917001	0.630575471485962	0.390442493250464
FOS	1.3316947513942	1.50917991739607	1.37030676167741	0.92533344867159	1.09869884550147	1.22987067282175	1.37786009716476	1.276571313054	1.28493172967226	1.06716094310378	0.786183376232009	1.25295279779995	1.23005849874295
COL1A2	0.10699794129681	0.856722295796055	0.730300647044511	0.550993897920947	0.25116681583198	0.131155191732676	0.859340307499974	0.573351664618749	0.483820019974047	0.188675283354834	0.309046728352689	1.70362760042645	0.543678487709699
ANXA2	0.122277209237422	0.655903833911953	0.516874672285951	0.769390701560014	0.339146451498907	0.129932191780732	0.537130242259515	0.342104940135509	0.447011233323412	0.232729253528522	0.960036389968333	1.06677077400709	0.732789937562732
TFAP2B	0.180496726719097	0.0166196110828371	0.0438565703119719	0.019061248273273	0.0448943503748402	0.187177761859611	0.0216408294726765	0.205634453628924	0.108183769306124	0.412413269625101	0.0112502081994163	0.0444502763601977	0.0904311814807135
HSPA8	2.34453835073715	2.23944959371461	2.18353171936184	1.92941719819015	2.19583984599524	2.40785435159566	2.27921212223038	2.24156572321617	2.26818466875302	2.20775411205745	1.82992084146019	2.27083434522291	2.1495693890505
CA2	0.0472976050647743	0.579125458008764	0.302752112673138	0.747122187239867	0.104766825702161	0.04749063538449	0.35564306510549	0.246424139274263	0.24126058305938	0.0753830448744448	0.682513733364485	0.350712499115715	0.20478281745049
VSX1	0.00254107976661048	0.000370990551534246	0.0179854100031972	0.000376572887345356	0.000357246553470257	0.00558968403980111	0.00209261511314034	0.00458440938030962	0.00116798909956511	0.00523594297205366	-0.000758571176295242	0.00229542764138794	0.00829486678708318
GDF15	0.0352090053306809	0.0811206151364662	0.147262301365088	0.193387989778516	0.302699446538392	0.029660671842909	0.444040474720075	0.138166432386365	0.11249530311613	0.0433352335369958	0.430999990924972	0.279860781655057	0.47335761045841
TPBG	0.132773827025269	0.44117192767085	0.259592176993543	0.418268163774897	0.0978521832684979	0.153562296462478	0.242959183308065	0.412521568987181	0.30811593037781	0.221398604642234	0.288001128465822	0.600482471084528	0.275042285835314
TUBA1B	2.49832064517559	2.47165228957417	3.55696803826124	2.12090771574964	2.21461706529259	2.37584480218611	2.30601434548555	2.29673469547572	2.45830870503594	2.37532047326066	2.17056842373244	2.3328566322513	2.20091838087854
NNAT	0.172934900290358	0.0622678376842568	0.145359676780213	0.0798790220380451	0.079144781377304	0.339346169597298	0.0735284509295315	0.268782270728041	0.202833210795083	0.392191865394905	0.119724031366986	0.144455039781973	0.380851603702693
AURKA	0.0517640429930892	0.050843630042287	0.743060878771815	0.048559902363025	0.0987046863044427	0.0508207619508971	0.0536448066754716	0.089106318023968	0.0629700479346075	0.0436127238621704	0.0894550978549122	0.0794971061282092	0.121236528753072
B2M	0.958567249150989	2.91263044240676	2.73645965711385	2.28170901374094	1.54886176352941	1.06374434793366	2.60944642646924	2.10163874131838	1.86457532790062	1.42761529261498	2.20014001341539	2.77432431752976	1.71372585676719
CDKN1A	0.488768127774391	0.660649092769548	0.722984838720256	0.691156662060039	1.09684524647919	0.457540286679716	1.36768171989356	0.893681224098003	0.673899639872768	0.635237906586872	0.905153320863868	0.871970504822163	0.905091198594398
C11orf88	0.00351627952477035	0.0267968882816322	0.0153766165968704	0.183669063875837	0.00824102603952286	0.00470268688430367	0.0184984486478874	0.0138797946823134	0.0348624552854054	0.015089336939668	1.12594777003512	0.0346101641106365	0.0396276559248577
CENPE	0.0467027641839306	0.0647810019575412	0.657617289661081	0.0541278083963566	0.0323718664821383	0.0497714591035848	0.0439084055358806	0.0852725640109297	0.10438740114999	0.027935622788592	0.076343124967772	0.134917537683799	0.0480847367421752
SFRP2	0.0383784109787506	0.487782569534179	0.500530852430364	0.163647553399763	0.0545397461928753	0.037465483265885	0.237175331527194	0.192941120935637	0.216107140561617	0.0673070016436927	0.0939043081182462	0.49469692781276	0.100703139984812
FAM64A	0.0215718757848914	0.0415266692401482	0.713177926641884	0.0210821630269369	0.0226060202329177	0.0172768202187851	0.0262634232079492	0.0753729601914163	0.0598512831419489	0.0235325325041508	0.0128910081038584	0.0337233104514394	0.0340039799318092
CTGF	0.0438047441319863	0.340005185873897	0.32358118378403	0.56589563748532	0.0737331424011937	0.0466620677441716	0.235227515599693	0.320955213350729	0.254451184696964	0.0618893581564376	0.565482158896594	0.72107861738448	0.378881950918307
CCNA2	0.0367659172798514	0.044679939793646	0.983259345737339	0.0283817107753132	0.0364562926076302	0.0386207072586224	0.0369556538365208	0.0540358101180539	0.0674303662345476	0.03575173724198	0.0295851031230345	0.0306297502081161	0.0173478036463046
FTL	2.99826614800338	3.49050043914186	3.18251191588278	3.64976857051019	4.26784269636308	2.98303545117309	4.13261597719991	3.2188989069075	3.30853508860452	3.00562136507924	3.35343182664414	3.90003056378625	3.81094797633975
IGFBP3	0.074634330620391	0.122398417453261	0.120842860535116	0.377871878377406	0.135553016929749	0.0485796467641704	0.160226144320533	0.0676647531618757	0.169832473979411	0.0140937206264151	0.117133097979528	1.10964230842079	0.223073401757413
CDCA3	0.0652050020485104	0.0343404410353225	0.747437452769422	0.0223511654532379	0.0786162605491949	0.0550944094156427	0.046762357810393	0.0589314183692008	0.0640606213547787	0.0428949076998071	0.0222631312972927	0.0219981808595738	0.0419460774721962
ARL6IP1	1.46933337096018	1.43937536050518	2.27579796789121	1.21880681864466	1.18767525119264	1.62370907763412	1.30678369333266	1.45018297266701	1.38124269304542	1.44199023123916	1.00608569198407	1.18248672828447	1.41958314000969
